Pasteurella_1	Pasteurella_2	Pasteurella_3	Pasteurella_4	Pasteurella_5	Pasteurella_6	Pasteurella_7	Pasteurella_8	Pasteurella_9	Pasteurella_10	Pasteurella_11	Pasteurella_12	Pasteurella_13	Pasteurella_14	Pasteurella_15	Pasteurella_16	Pasteurella_17	Pasteurella_18	Pasteurella_19	Pasteurella_20	Staphylococcus_1	Staphylococcus_2	Staphylococcus_3	Staphylococcus_4	Staphylococcus_5	Staphylococcus_6	Staphylococcus_7	Staphylococcus_8	Staphylococcus_9	Staphylococcus_10	Staphylococcus_11	Staphylococcus_12	Staphylococcus_13	Staphylococcus_14	Staphylococcus_15	Staphylococcus_16	Staphylococcus_17	Staphylococcus_18	Staphylococcus_19	Staphylococcus_20	Pseudomonas_1	Pseudomonas_2	Pseudomonas_3	Pseudomonas_4	Pseudomonas_5	Pseudomonas_6	Pseudomonas_7	Pseudomonas_8	Pseudomonas_9	Pseudomonas_10	Pseudomonas_11	Pseudomonas_12	Pseudomonas_13	Pseudomonas_14	Pseudomonas_15	Pseudomonas_16	Pseudomonas_17	Pseudomonas_18	Pseudomonas_19	Pseudomonas_20	taxonomy
0	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	22	10	113	0	41	6	2	1	39	86	0	0	12	6	12	4	10	40	1	77	0	25	21	0	0	2	7	56	50	0	10	8	25	2	0	40	1	1	6	5	Pasteurella|93_1
1	4	2	16	5	20	51	4	7	2462	86	0	1	45	16	43	126	29	0	71	56	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2	0	0	12	51	22	0	1	104	6	0	45	69	0	0	0	102	0	29	50	Staphylococcus|77_2
2	10	5	126	2	77	53	3	79	0	167	1	0	12	0	3	0	53	2	20	241	5	25	19	41	12	19	0	241	12	86	29	19	60	2	0	77	194	1	29	29	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	2783226	Pseudomonas|92_3
3	47	1	0	4	126	20	50	5	12	1	43	12	113	1	241	10	1	0	121	124	0	71	25	0	32	104	3	0	41	5	21	50	0	22	0	6	86	0	69	0	56	2	50	3	21	5	50	41	32	123	2	23	219	15	1	1	0	41	1	4	Escherichia-Shigella|98_4
4	116	2	2	69	86	121	121	2462	7	0	69	53	32	2462	10	69	124	0	0	22	19	79	3	124	219	21	5	16	36	10	2	5	20	3	15	167	56	50	0	0	3	77	2	0	3	2	0	5	0	58	29	4	3	5	0	29	79	3	194	69	Klebsiella|75_5
5	10	1	79	0	1	43	2	0	29	0	1	5	58	50	0	25	2	43	6	58	0	2	0	50	69	124	10	60	0	0	26	203	116	0	0	86	203	29	102	102	26	1	0	21	45	29	6	0	241	58	0	1	0	0	10	5	16	0	41	43	Corynebacterium|88_6
6	167	15	88	32	20	0	0	3	50	12	25	3	41	22	0	40	0	25	1	21	15	79	167	0	10	71	41	0	51	167	4	2462	2	10	20	11	0	0	3	79	29	104	53	2	0	1	20	1	0	2	167	12	6	53	104	934	0	5	0	11	Streptococcus|86_7
7152	25	79	20	0	0	30	2	102	88	6	10	0	1	60	86	86	69	0	10	60	0	19	5	26	0	1	126	10	25	6	36	113	10	12	126	5	11	194	12	39	47	45	104	0	3	1	25	3	3	10	41	53	50	121	0	22	51	50	71	86	unclassified|91_8
7	5	123	41	0	1	41	3	124	1	203	0	10	50	51	20	10	25	36	53	0	2	50	10	56	43	0	41	0	15	219	0	79	121	194	10	113	1	51	53	86	0	40	41	53	0	26	60	21	86	32	32	25	0	0	0	0	58	19	0	0	Bifidobacterium|96_9
8	53	26	0	0	20	79	1	0	20	102	194	0	20	0	88	0	0	2	69	20	0	58	41	41	50	12	11	45	0	32	3	0	0	53	16	203	0	6	45	19	10	50	79	12	0	126	194	0	121	219	53	51	58	58	53	123	32	47	86	51	Acinetobacter|91_10
9	88	2	0	25	30	79	10	1	0	1	203	116	71	1	121	10	0	50	1	71	1	0	21	47	0	56	50	50	3	0	3	32	53	2	1	88	71	71	241	56	39	69	116	71	41	19	1	124	5	1	41	0	36	86	69	0	10	12	2	10	Streptococcus|99_11
10	5	0	1	26	1	0	29	0	22	40	1	3	1	41	58	11	79	0	12	3	0	60	0	19	124	1	0	50	113	5	2	0	69	0	0	104	45	2	69	0	2	4	1	40	1	0	3	50	1	194	1	2	23	2	69	50	29	23	25	0	Lactobacillus|82_12
11	58	6	8	53	0	19	2	3	3	0	0	60	1	50	102	219	40	0	45	123	5	3	71	5	79	0	50	2	219	8	2	71	43	3	3	116	1	123	20	1	86	0	25	0	1	2	1	19	20	7	20	77	77	0	5	20	6	219	15	203	Staphylococcus|96_13
14	21	58	3	36	29	0	50	12	102	5	3	20	0	934	126	5	167	29	0	41	3	47	5	58	0	0	2462	0	16	123	0	53	20	20	0	16	0	15	25	47	45	69	58	934	20	10	0	86	8	0	32	0	0	22	45	43	40	0	30	116	Anoxybacillus|90_14
12	40	25	4	20	1	0	1	0	20	51	0	50	2462	0	51	5	53	121	56	23	53	26	60	43	11	1	124	5	2	77	113	25	29	56	77	1	2	20	2	22	104	121	77	79	121	0	241	0	43	15	50	1	4	0	25	4	2	41	3	36	Stenotrophomonas|98_15
13	0	86	0	104	0	10	22	4	5	69	0	25	0	0	77	1	50	79	0	51	0	51	241	1	69	32	58	19	19	2	123	0	15	10	0	121	47	88	0	50	10	1	194	51	23	2	20	2	194	45	26	219	69	194	51	41	12	26	0	1	unclassified|98_16
15	1	0	1	41	2	1	219	12	0	2	79	102	241	10	0	56	123	51	1	1	0	3	2462	6	0	69	0	29	1	0	30	126	71	26	43	2	19	86	30	0	69	113	1	88	39	0	12	30	53	1	0	86	0	0	40	0	77	30	16	5	Lactobacillus|86_17
16	1	56	167	43	50	86	0	0	1	36	50	12	39	203	41	41	2	1	50	0	29	0	2	1	41	0	53	1	10	241	0	53	0	10	0	45	6	79	2	41	1	0	3	0	5	23	29	69	5	116	51	6	32	43	1	121	203	5	50	8	unclassified|100_18
17	77	50	102	20	19	0	124	2	51	1	6	0	124	123	0	50	41	934	0	1	36	10	219	50	15	126	15	79	5	0	203	20	104	29	3	69	0	58	20	2	36	0	10	20	0	79	69	3	10	12	0	1	0	1	121	1	10	25	5	88	Staphylococcus|93_19
7187	5	2	2	12	194	8	58	5	86	0	6	5	123	11	113	53	0	58	219	19	934	2	47	25	0	79	0	0	1	0	219	51	10	5	934	124	124	26	3	50	22	0	20	11	11	56	40	0	102	1	0	123	60	5	88	0	60	40	2	0	unclassified|71_20
18	0	29	26	21	1	934	36	20	0	47	0	0	0	12	50	50	58	10	1	0	2	0	40	58	20	25	58	0	58	1	5	0	0	41	0	1	1	5	25	3	50	21	0	2	124	58	5	2	69	20	26	194	2	1	60	167	22	10	0	20	unclassified|73_21
19	71	0	22	2	0	0	20	241	2	241	0	50	5	1	0	30	2	32	124	0	20	0	12	104	104	167	53	1	53	39	0	1	2	53	25	32	0	0	0	12	69	0	30	29	8	36	20	1	0	25	25	102	12	77	2	219	4	10	934	0	Propionibacterium|100_22
21	0	7	10	12	241	2462	0	86	21	2	0	203	47	8	3	58	86	29	5	25	26	32	0	2	167	30	25	2	8	71	41	1	0	60	69	47	4	0	32	2462	25	124	0	126	25	50	934	1	58	10	1	167	10	69	126	20	2	25	0	0	Staphylococcus|91_23
22	0	20	241	2	0	0	102	203	0	12	4	0	58	29	25	2	30	50	0	86	104	0	3	10	60	10	8	0	0	45	71	11	1	5	167	53	36	6	6	20	0	39	2462	2	29	15	2	1	1	1	0	88	6	1	0	203	0	1	11	121	Finegoldia|100_24
20	11	79	60	0	56	29	58	29	3	53	167	241	53	0	22	20	20	20	36	2	56	23	15	21	56	6	6	0	20	56	1	5	40	123	5	25	22	241	0	0	126	36	4	0	0	88	0	43	0	5	3	56	53	123	53	1	26	21	0	1	unclassified|83_25
6422	69	21	40	0	113	194	11	0	241	20	121	88	1	21	41	39	10	1	0	203	25	77	0	194	0	50	1	0	20	32	12	194	12	15	4	58	121	3	219	104	203	1	0	10	7	6	58	71	2	2	0	20	47	25	0	3	167	69	56	32	unclassified|88_26
23	5	12	2	26	10	21	1	2	77	6	41	1	2	0	0	47	32	0	23	53	71	10	69	1	22	40	203	0	5	0	0	0	41	116	10	0	10	2	77	7	1	123	113	167	2462	0	0	69	0	0	29	2462	1	19	50	1	69	1	0	50	Dialister|100_27
7003	50	0	0	1	102	6	16	0	60	8	12	3	50	10	116	50	10	5	2	11	194	58	8	4	1	0	1	56	0	21	60	36	0	104	241	50	3	0	2	43	0	12	20	22	41	0	15	0	71	121	0	16	0	0	203	45	26	32	60	2	unclassified|87_28
24	56	0	104	40	1	2	7	0	32	56	10	5	934	113	79	21	12	23	1	1	6	104	124	121	126	0	1	167	26	51	0	6	0	25	0	29	12	116	0	4	5	8	0	0	219	102	1	25	36	102	15	29	39	26	77	50	8	7	53	1	unclassified|95_29
31	36	10	56	50	79	0	0	47	11	0	0	2	203	0	1	934	77	1	16	41	12	0	41	1	0	2	50	71	116	10	29	6	26	39	0	12	30	1	0	2	10	32	934	1	194	53	41	23	1	51	8	3	126	11	1	86	86	4	1	104	unclassified|71_30
