bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	-0.271381618869988	-0.269601073006804	-0.27284344527047	-0.312820242457008	-0.377300523063301	-0.303279106278059	-0.385689904726965	-0.277035621564001	-0.286523977046409	-0.350825462477288	-0.308890139692841	-0.306011022166261	-0.200818056846221	-0.371786459873093	-0.27904187699601	-0.344189480969844	-0.261445233963276	-0.255537508354393	-0.335382857850159	-0.386853427586667	-0.361242579408628	-0.333620102800802	-0.140693602249386	-0.228358531707392	-0.319934511937846	-0.288853783673116	-0.184321005789724	-0.242752081520823	-0.224954957561851	-0.345082975406438	-0.323534299913698	-0.565986442865624	-0.387320909584815	-0.381220361249307	-0.572091749461598	-0.547971575364456	-0.466681274787727	-0.510101647435922	-0.366764617798665	-0.511684442758422	-0.33871398401221	-0.455617832630212	-0.585839698007957	-0.350437897982817	-0.39370030199969	-0.416448937829803	-0.382003078426586	-0.513566511152998	-0.378675764156528	-0.277735275987977	-0.34294397560748	-0.449250988553969	-0.501935964391484	-0.487612150497398	-0.400310868001385	-0.546353651772259	-0.471595692081055	-0.497676537296209	-0.502820472265199
bm_700105215	-0.271381618869988	0	-0.306129045308246	-0.253672462585348	-0.470026339139561	-0.439936931282894	-0.293116576925231	-0.423547945299323	-0.221665022172987	-0.234951815049679	-0.183376406216423	-0.349596997898993	-0.211319335583578	-0.29065610304986	-0.293723731757618	-0.25242075949742	-0.267378075958908	-0.274045557742503	-0.124726509469452	-0.270722009560282	-0.268876921928646	-0.321359661591978	-0.375789309935436	-0.324531633232571	-0.404158679795029	-0.184099091658435	-0.341221062068101	-0.294557843963851	-0.402300615656905	-0.31265778862751	-0.32394394011829	-0.265044977251822	-0.619842211198835	-0.340455741533309	-0.386289764946851	-0.623327622986008	-0.586087648671278	-0.447105612525721	-0.552521959423826	-0.391531408075203	-0.563627407429344	-0.307104014775355	-0.491887621595428	-0.613731130098672	-0.304978385692057	-0.383629744442573	-0.424196205792328	-0.430289866983182	-0.540073709265484	-0.36090547383824	-0.31354650210254	-0.379021307291602	-0.476769456286261	-0.530387147624687	-0.524666711440828	-0.383090381641878	-0.587654811034175	-0.49537391966702	-0.539114485320071	-0.538996696698623
bm_700107881	-0.269601073006804	-0.306129045308246	0	-0.243060080841339	-0.414782953545484	-0.491862196470369	-0.272485508283762	-0.485305634975296	-0.278430359219411	-0.282093496605499	-0.331925869716266	-0.395561489384265	-0.310372749514209	-0.220546910151861	-0.376038483222492	-0.262387445102895	-0.304887849337388	-0.283600671623621	-0.277887784127168	-0.353259761457684	-0.349906044834751	-0.268840666898337	-0.447855467259956	-0.318398962023783	-0.23003767839975	-0.330614262762746	-0.374703849676433	-0.300675782053398	-0.397823478458159	-0.322708924615389	-0.268348121484776	-0.261302692247504	-0.485333807827028	-0.340558618590483	-0.261183875917391	-0.485633977905684	-0.508290633036676	-0.410571004089246	-0.510554397783275	-0.244833724768503	-0.446540874121116	-0.269778398698641	-0.407201406062781	-0.496070590299539	-0.24552383318868	-0.353321450591376	-0.367713912695945	-0.375712685441865	-0.425076672423059	-0.307144708207439	-0.24409953457827	-0.261336032583306	-0.332623711404357	-0.421859643025943	-0.455022829832324	-0.361720666896104	-0.462735946528288	-0.373718391796277	-0.413075191831316	-0.415676258233404
bm_700111304	-0.27284344527047	-0.253672462585348	-0.243060080841339	0	-0.425658099408305	-0.38828261025272	-0.314425521614963	-0.38219297503581	-0.223030138219691	-0.332327724188359	-0.223130249015494	-0.262722471811151	-0.299994927187169	-0.248027485245089	-0.364497039627086	-0.281517195217847	-0.244393246213815	-0.322419585875384	-0.172996327719636	-0.335554473424923	-0.246264110153104	-0.348537923623369	-0.3650794587655	-0.328191220476472	-0.318468719321644	-0.247463577426768	-0.295022421602551	-0.254727483610111	-0.407383249280296	-0.295460792603851	-0.308373239739557	-0.288385291951046	-0.600658620231148	-0.375594935378579	-0.390018684644673	-0.605120916463828	-0.565960190025504	-0.456229045643853	-0.556566231850561	-0.40016558088628	-0.548484348929759	-0.35299700957039	-0.483398789921112	-0.606610821921959	-0.329743065521101	-0.378826200129275	-0.421694229024967	-0.415823289657346	-0.522030586834176	-0.366729922430834	-0.32086898268496	-0.367585235937026	-0.471427016914272	-0.52741448818065	-0.502713550093344	-0.401169852755003	-0.574266521411955	-0.493545012449022	-0.515007782845765	-0.531232517618186
bm_700033225	-0.312820242457008	-0.470026339139561	-0.414782953545484	-0.425658099408305	0	-0.469058200781143	-0.429195872955422	-0.48194833512277	-0.413540509529376	-0.427824988593065	-0.45985300104857	-0.433762486450111	-0.45731142274043	-0.347142155032179	-0.453503244680623	-0.395806788025807	-0.401236246246715	-0.386168766281849	-0.449664016795474	-0.421679993649061	-0.48914647900651	-0.472321800359915	-0.460193927968787	-0.330365359323839	-0.353077773110828	-0.43410683408461	-0.428359759231217	-0.354697333413689	-0.3446637701591	-0.379560597343375	-0.454122026986384	-0.469292601862933	-0.604737281140997	-0.472120955844581	-0.480457139123509	-0.638381518290929	-0.597227305463243	-0.521180503556738	-0.55810600342945	-0.452853681751527	-0.538618433156342	-0.438521970354433	-0.49526987154183	-0.629464379082219	-0.44114442663878	-0.486945965766286	-0.483361348832981	-0.44509770415818	-0.584054567174209	-0.454160620147638	-0.439690487746388	-0.440697925565676	-0.512030015106322	-0.556078643554441	-0.548229249370535	-0.480011367715022	-0.58585080629381	-0.540692709275162	-0.530214022278623	-0.545075353992414
bm_700101232	-0.377300523063301	-0.439936931282894	-0.491862196470369	-0.38828261025272	-0.469058200781143	0	-0.577235860237371	-0.18715314702489	-0.405731471919819	-0.562619917461897	-0.487784709133052	-0.309361828231117	-0.449817584203777	-0.421034693993895	-0.558667803500318	-0.546377562487742	-0.499276756773203	-0.503919600078585	-0.397729994639981	-0.586044771850502	-0.48946293918555	-0.593317658168377	-0.213805222242961	-0.365712210337261	-0.369547728648408	-0.411593660848414	-0.2457149710368	-0.337462667806995	-0.369814264729937	-0.325061764230474	-0.594853538169609	-0.56465601739191	-0.751191819844254	-0.626208240313918	-0.63825451481545	-0.78350168792387	-0.748558621606924	-0.690383719154888	-0.691926837960161	-0.632460596272217	-0.722338481844327	-0.593566012268695	-0.681699231048215	-0.768979138471981	-0.586460698870615	-0.632190389259576	-0.656969553201096	-0.595657730312757	-0.724168252549753	-0.630492878656111	-0.560959605215554	-0.601487361498895	-0.685888206855492	-0.690638289217982	-0.69121435829205	-0.643903398402191	-0.745484647117169	-0.70325880301555	-0.710491804882718	-0.707650829786316
bm_700038348	-0.303279106278059	-0.293116576925231	-0.272485508283762	-0.314425521614963	-0.429195872955422	-0.577235860237371	0	-0.553282054844983	-0.308885416044266	-0.189528373510501	-0.271232572872024	-0.447480058773144	-0.319365001860612	-0.286559772427133	-0.285536374420164	-0.237276023548104	-0.296390473480215	-0.273991097686985	-0.299355515443607	-0.266408898167381	-0.332493904842354	-0.307784329750057	-0.517803179937861	-0.345659819339122	-0.394714163796586	-0.361479667560121	-0.460112606244626	-0.338002135781838	-0.461242314629552	-0.410664398433088	-0.155278878421704	-0.192729244111078	-0.37753293201949	-0.166121517254168	-0.251690246850913	-0.365313734479171	-0.334271796900135	-0.229498347458973	-0.327272665974043	-0.286195844723679	-0.312922050814688	-0.222264323736087	-0.230803177422602	-0.385048408777277	-0.256465488345004	-0.17084637797988	-0.201601308378219	-0.183150722560835	-0.315654943563197	-0.17972034042086	-0.216672519287965	-0.282715627174404	-0.301374398463086	-0.287231792026201	-0.278127199376625	-0.176851053774659	-0.321907004355645	-0.282221509084185	-0.281706295767001	-0.282721601260551
bm_700021685	-0.385689904726965	-0.423547945299323	-0.485305634975296	-0.38219297503581	-0.48194833512277	-0.18715314702489	-0.553282054844983	0	-0.409186893673237	-0.531315958612023	-0.444623285933103	-0.250209833064332	-0.441794460083383	-0.388115057180355	-0.553899677834224	-0.518784397236632	-0.507789519332943	-0.488877843138186	-0.396020447598035	-0.557380318562623	-0.430826105673353	-0.590228437966333	-0.210951396100055	-0.383098425172283	-0.382016577960377	-0.376501359343503	-0.270641543052063	-0.331030399294807	-0.414405356381144	-0.32638717028151	-0.592175345549977	-0.573458372247292	-0.757627439283711	-0.621750969198458	-0.644686263950023	-0.791296416030308	-0.752708689862987	-0.694768666345624	-0.703942686292333	-0.631095844712242	-0.725730913962714	-0.611247633456224	-0.689921813214253	-0.775019555029292	-0.581455002900919	-0.63738646058526	-0.660769362906687	-0.606287868873959	-0.726797157070195	-0.637794865327953	-0.55927237337298	-0.60971759585211	-0.692224939188677	-0.702446920750566	-0.698780181921385	-0.65012594040696	-0.75077580993389	-0.709201957009473	-0.715357352788742	-0.714884954775625
bm_700105839	-0.277035621564001	-0.221665022172987	-0.278430359219411	-0.223030138219691	-0.413540509529376	-0.405731471919819	-0.308885416044266	-0.409186893673237	0	-0.314889165130208	-0.237188162403505	-0.253030359839973	-0.220109918701817	-0.250988158652447	-0.315033120969701	-0.254438622587663	-0.216122900537228	-0.253617288822995	-0.185609450105708	-0.306274570324754	-0.219675106472237	-0.355633067499644	-0.363414549696834	-0.339014915897085	-0.340226662528162	-0.193151466198091	-0.333276959567338	-0.240186703666806	-0.406329967426311	-0.306991755065485	-0.327456991708329	-0.293081771098947	-0.593658500727722	-0.413438220263852	-0.359098947314923	-0.606803956071459	-0.569672640423166	-0.442657832230334	-0.587886197259282	-0.405997878288949	-0.524686897460072	-0.312614019045428	-0.464061339165407	-0.599956216908068	-0.31873332616098	-0.429604045011655	-0.432070928359402	-0.43486425053602	-0.534540219796376	-0.338866441225841	-0.301258285857914	-0.366589437787094	-0.45446307334649	-0.520145185092203	-0.508476540381559	-0.426468375957701	-0.563566372771013	-0.466564722199069	-0.499281176398679	-0.515074796289582
bm_700024343	-0.286523977046409	-0.234951815049679	-0.282093496605499	-0.332327724188359	-0.427824988593065	-0.562619917461897	-0.189528373510501	-0.531315958612023	-0.314889165130208	0	-0.23312878676837	-0.44592030501857	-0.251782199218111	-0.266593913244268	-0.238647590939605	-0.18356722824463	-0.275833455477	-0.22811131197906	-0.281528497982457	-0.219847769352802	-0.30935380101786	-0.278378422133154	-0.496406872482937	-0.342729087022957	-0.375884866074315	-0.317389457700081	-0.448652370249553	-0.348209080938852	-0.46046873447475	-0.384093032468302	-0.224343256085597	-0.230059306873373	-0.462479881648294	-0.194747119334946	-0.280753640299217	-0.465266521520124	-0.417185187816825	-0.302358689602948	-0.379419000233656	-0.276024344312228	-0.3950478097415	-0.212009820003692	-0.326116057339078	-0.468392054636985	-0.252526951500736	-0.236948786881662	-0.266849258891487	-0.265220077693381	-0.411563287583527	-0.223242785713142	-0.238216630527951	-0.283825303828007	-0.369748374014343	-0.375440277507588	-0.356269186405961	-0.230187076532703	-0.419721213768596	-0.345637809311164	-0.377098389578226	-0.37470062619032
