bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.394925780802869	0.190838886534389	0.253093989437737	0.231760371191313	0.493215904450626	0.317176941808951	0.527676182886479	0.298019291793661	0.393074504393341	0.475880603254401	0.416989664104407	0.396419526085356	0.108593648451407	0.39462863440432	0.447597382098849	0.415143162261555	0.260474650424234	0.27324568585142	0.485372501183941	0.500982037706154	0.522765467817716	0.422889458320146	0.150126632645806	0.151288287577949	0.373361400136118	0.33967084439091	0.111177470208504	0.203537213518442	0.285173744568566	0.305765642552615	0.292363465161731	0.694670360334173	0.436018302110722	0.379003212182036	0.713949789689199	0.613251696984729	0.54116068141347	0.528005322646828	0.543138486399124	0.653399240122401	0.380539005785947	0.593663245061504	0.720764494121452	0.317636548972821	0.37581224625216	0.587622246307443	0.519650883217976	0.591571851362351	0.391151601753148	0.222837572049139	0.465031153719521	0.634267287844257	0.61576118305423	0.567098850437429	0.56369853560991	0.615194073489553	0.681301021342182	0.578604681638163	0.540259652526488
bm_700105215	0.394925780802869	0	0.386541166407709	0.237575170190403	0.418317539492932	0.296747775004743	0.495446764320367	0.315356711894114	0.191866196087852	0.35678504507933	0.104421254862492	0.212318003581673	0.25762096181847	0.384514758037737	0.346981506409048	0.434065055609423	0.22572185486702	0.336966929535586	0.210854967266726	0.479949152569868	0.16358121833779	0.593471918050225	0.197900336003958	0.332701373698496	0.367355633791165	0.0856326351463438	0.149130780549036	0.407225342555995	0.377847784480818	0.284201059073416	0.427057077881607	0.389692055791209	0.705183153019075	0.473357166162962	0.490809798225802	0.516977280566614	0.666560574849229	0.509177316151956	0.646690967178037	0.566240642153253	0.664286671613972	0.492586231432974	0.649560436088727	0.737189528198508	0.410573352796341	0.480662354831718	0.605526339724098	0.684900165829956	0.610493873512362	0.466470251497899	0.417546576454183	0.539678398182121	0.617400539910305	0.682747339316357	0.667857879601603	0.58797864697245	0.664003483715713	0.702074282352194	0.613032241230953	0.598273553921208
bm_700107881	0.190838886534389	0.386541166407709	0	0.226504714629609	0.324649351166827	0.546796028150341	0.246505274432443	0.551199012617477	0.291656641629693	0.327293358711499	0.416435494633778	0.474177388391534	0.339244341967919	0.167685986380676	0.334982850531032	0.365826591891936	0.34383056982091	0.231849623984154	0.250789189400555	0.396168640355224	0.438700913233928	0.397755136899738	0.457378034034694	0.289228856789083	0.214621853549523	0.35074450042249	0.409726576501101	0.223322465072553	0.337119479551978	0.313978338666544	0.208422055200453	0.186248760743242	0.595161313821128	0.338071723987975	0.267632067468847	0.670003231890233	0.556579799536859	0.469553222250537	0.522858186484661	0.401746565442295	0.553431331806477	0.26993054380384	0.517908516120022	0.609929477440883	0.193651055085723	0.296050235958552	0.487847772888091	0.507470523921246	0.49256612072765	0.291821106345242	0.23635143337724	0.369843162372022	0.489112632039812	0.529181320817469	0.508569514834369	0.457303831316632	0.523208385370056	0.559010467302596	0.478603166970592	0.449997674558777
bm_700111304	0.253093989437737	0.237575170190403	0.226504714629609	0	0.287709561191794	0.397798831677543	0.356883086646829	0.409951363509524	0.121884505076925	0.36627208131432	0.279414156863701	0.303027539431391	0.23864117484751	0.218700744521971	0.329408980584484	0.442237585136019	0.210620366493077	0.220129768125236	0.0862562031049706	0.473773888322584	0.305895187315809	0.505763705074134	0.302896941394787	0.19327238358092	0.196320145624986	0.19350631259585	0.241011561825653	0.235956346861937	0.266066357404254	0.152601865539172	0.321613433182653	0.294033566968442	0.688882181604623	0.427656952304575	0.408430275300626	0.599503750855671	0.62712230931363	0.50671387214022	0.572791261150861	0.556212473663114	0.64082141958777	0.388424603539084	0.605535435095884	0.710332447054238	0.334089462484824	0.394685295675329	0.566730722549061	0.596794191519995	0.579164624039517	0.404043798485024	0.271843186361033	0.499672071996746	0.611075026711386	0.631002727467992	0.59148163354461	0.538578490647946	0.6242157977371	0.678672946206192	0.577700645620088	0.55594120672331
bm_700033225	0.231760371191313	0.418317539492932	0.324649351166827	0.287709561191794	0	0.421396609641828	0.446778606949985	0.449611303241457	0.323167375842246	0.43022843165088	0.473270241392734	0.348670970098254	0.420645239254956	0.226550486706519	0.391768839268805	0.507024968444879	0.407013479744871	0.306847041049286	0.329522884646909	0.547961367145929	0.48981570826452	0.594139693818707	0.350261555250798	0.207177006938699	0.189866192252919	0.381008533807417	0.314719846558007	0.233764528616655	0.17760161941304	0.247433013608365	0.418183540073053	0.417307568990843	0.712642360626526	0.505319192007428	0.479483563051684	0.68623463753148	0.648205144732852	0.558270690772222	0.576935384690215	0.59018862372112	0.661814428353746	0.491921444287739	0.619406497819298	0.739385248500256	0.406588918009813	0.455405152609414	0.618041331661197	0.591716512259209	0.624802039920511	0.47816293505122	0.317302754442241	0.534054305573935	0.659281394648143	0.653832581697295	0.615257342615424	0.610834448994717	0.64742963406375	0.697589521396067	0.597688633601689	0.576047477685099
bm_700101232	0.493215904450626	0.296747775004743	0.546796028150341	0.397798831677543	0.421396609641828	0	0.653926346588833	0.0754852378747035	0.339422378019854	0.61121049858655	0.345427966000237	0.151281472906974	0.498110363266815	0.491491657575458	0.585066331865838	0.674703415720394	0.457998914496663	0.513611889329031	0.397037767627062	0.726896058828166	0.337835556321538	0.757196421972526	0.159069163704173	0.421546696169227	0.445118476428181	0.299361224326717	0.226721644028298	0.486695409958171	0.389321879409179	0.355075498498294	0.620434630554557	0.610261089862767	0.835312156548414	0.690138477120328	0.680794678832923	0.618197448786523	0.796497733962879	0.700511240606592	0.74507668175397	0.771180463983584	0.801843362793041	0.693720609464385	0.795956900139499	0.867810347598995	0.627527199716866	0.655133802880468	0.768470830860731	0.787873104697284	0.74540083487189	0.672980105433851	0.555779406611133	0.740107161829704	0.79850555356695	0.812585302309161	0.787184107850114	0.771959176804718	0.803373438870057	0.858582751314757	0.756997213082763	0.742062805204247
bm_700038348	0.317176941808951	0.495446764320367	0.246505274432443	0.356883086646829	0.446778606949985	0.653926346588833	0	0.653454752480024	0.41445136477367	0.372747255890799	0.508415148737152	0.583952806273004	0.453348497932131	0.305515429465059	0.375754358255751	0.39614889093862	0.458096147023631	0.305416775319337	0.376898537613223	0.318161824183883	0.547247289856206	0.362148853335624	0.571197409569167	0.416499416135976	0.391922473317402	0.485634551020453	0.533936997160447	0.367819870367337	0.459465173485533	0.433786336597148	0.199713547962166	0.222102750005391	0.531261836914004	0.221817963933862	0.256034024374026	0.696530756680861	0.432036236136124	0.468128191045724	0.401232383812414	0.383336796224256	0.490256666684779	0.173345579109101	0.378795357590197	0.521273184353616	0.238871317429124	0.232219112010081	0.368052223898416	0.307495688596284	0.470439186662662	0.230646723032248	0.266292577843675	0.318820446137481	0.454867443602341	0.401650060092893	0.366486126903152	0.313601510255059	0.414361837053982	0.460938355256092	0.42186989855806	0.396080965495834
bm_700021685	0.527676182886479	0.315356711894114	0.551199012617477	0.409951363509524	0.449611303241457	0.0754852378747035	0.653454752480024	0	0.359539810758148	0.599338745115076	0.352271423114355	0.172299157124213	0.50241553722729	0.507940683769738	0.58854152206482	0.668573796197864	0.467929915282572	0.516243097795449	0.412224774009274	0.71870375522056	0.336640544994857	0.753092607529292	0.182602132188957	0.461893255081175	0.468483599751093	0.31497291681416	0.258284697313781	0.522279778634899	0.432682284327898	0.373192625980049	0.6271995506586	0.616825318409514	0.835164275838859	0.689731157630749	0.686902393134076	0.625496064781462	0.799207001952137	0.70057096151412	0.753345357159944	0.771131697164834	0.798473562536811	0.695363690977954	0.798696531449018	0.86579512692713	0.631128003235337	0.658797220154099	0.765677507752622	0.796007100881797	0.747355238260868	0.680045975621136	0.573301927549472	0.743124667091901	0.795723239287233	0.814685607679937	0.791968262581179	0.767614806178073	0.804725779194907	0.858608393576477	0.756769411558117	0.747587945388005
bm_700105839	0.298019291793661	0.191866196087852	0.291656641629693	0.121884505076925	0.323167375842246	0.339422378019854	0.41445136477367	0.359539810758148	0	0.408398893316805	0.237309161226534	0.233767967765095	0.273351681433562	0.259264768426743	0.367379274788902	0.479235950603001	0.211818524632859	0.241604008116453	0.113262369673413	0.516819578001653	0.255073730945615	0.558263550384794	0.239789363692123	0.242018395791516	0.24542144746493	0.136530830825653	0.183865743684711	0.279548148600883	0.309189875273566	0.206695208115964	0.377441237686745	0.355659645969631	0.704828142002362	0.493918029868513	0.4374927802704	0.55445395633077	0.654173004386552	0.53769922190126	0.61552487490696	0.589249492110499	0.653314704732482	0.445978213964216	0.627785026024842	0.732591859506778	0.385274743659898	0.458987867517097	0.602378534886344	0.635414398397829	0.604878350346117	0.435153303760127	0.316417983536088	0.533081039999158	0.627200678151551	0.658013411445141	0.624066542670076	0.59651268950943	0.651188732985388	0.698796356696244	0.593956531829232	0.57388575423587
bm_700024343	0.393074504393341	0.35678504507933	0.327293358711499	0.36627208131432	0.43022843165088	0.61121049858655	0.372747255890799	0.599338745115076	0.408398893316805	0	0.29688269924804	0.542714435630032	0.246584199709141	0.352079889817309	0.175544012250966	0.198155781152999	0.247204071414817	0.290473526875501	0.362897776008129	0.335381992381287	0.344751304032842	0.481448405549086	0.53440273337251	0.423426987519135	0.396664800483363	0.393628363710523	0.510843139767031	0.398591772989448	0.456665603937706	0.416684267730046	0.282339071696305	0.289843723722595	0.451744433217429	0.281862939106096	0.363723051403758	0.550995432586666	0.459236445958095	0.272101065998087	0.495452474973661	0.382768330635193	0.411882422605029	0.388283875245279	0.405597414689597	0.574857543900656	0.281444673732964	0.305147723761564	0.348330999227173	0.520789433320014	0.403870054387785	0.289392084256778	0.33784094795757	0.402945791622024	0.40004969822937	0.510167287708395	0.489284321354328	0.379651253240414	0.413180674796399	0.496781641924922	0.354561815244832	0.356680433989271
