bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.285379926552213	0.257508461359692	0.194877294063659	0.177723354532446	0.284137708112878	0.217976894501089	0.371133108483538	0.26146633682405	0.308282517987394	0.162782522116325	0.200145810255557	0.226534399305396	0.239217296210703	0.200335741090061	0.234315665046946	0.169615313379978	0.270722220845912	0.23002511569855	0.141386400716311	0.231062067273266	0.238261743565061	0.37452591022288	0.143999424309023	0.251418877709316	0.303220448354739	0.32769439302942	0.22948363586602	0.222622531931384	0.267461544904486	0.226073138707314	0.236638483762093	0.27841972826914	0.303882257038943	0.283520727824395	0.326330666043788	0.276529857481092	0.3303982531082	0.382742483280778	0.187429881900771	0.285038994805805	0.281313519182424	0.28939324766391	0.2512088920662	0.21908462775326	0.238515377909274	0.29284385443984	0.207781973558325	0.266050630133884	0.267642038181996	0.215544364185887	0.224048782732102	0.299058485720386	0.301665610839978	0.281885671075185	0.269567299808772	0.303319542703176	0.277092571816859	0.270443812914589	0.286112516913872
bm_700105215	0.285379926552213	0	0.326494643596559	0.366140640833714	0.356388105375043	0.238370275470492	0.281970609088131	0.194268571637546	0.349726369831905	0.224623294014111	0.302800477068506	0.343561285725577	0.226373960836498	0.181853465411943	0.282751566929385	0.216997747962962	0.360150151531774	0.233148947063563	0.309295875669624	0.345155053162938	0.278792511770403	0.152542772777839	0.168232711280358	0.298645592601899	0.261731768114506	0.251597011597578	0.149940366436744	0.268062009468229	0.403134684555556	0.25983128007484	0.275054059506156	0.155791651773022	0.343807841902045	0.239994714968083	0.293248489695957	0.388710558384856	0.276751640070451	0.241012791428811	0.359068371561338	0.351787296340469	0.343502300994365	0.187978439901047	0.318673268237784	0.31144881835888	0.191718071859918	0.301683306259342	0.263115549908751	0.235285374028079	0.320682288182881	0.268684888229833	0.226539118083893	0.244971846587792	0.38925557730126	0.237204737181733	0.327171788310878	0.393675893058323	0.363892142879894	0.310416585562661	0.336636478281232	0.289899336657713
bm_700107881	0.257508461359692	0.326494643596559	0	0.241361981037589	0.204868127836428	0.380504602578576	0.20055752367942	0.467441018218024	0.205777672391725	0.263161557999096	0.257674798301712	0.255591457595287	0.279816486704252	0.268447769610359	0.31278423267353	0.266056528607005	0.243520822199965	0.226214702062224	0.213240420584727	0.214451966963832	0.315948173655767	0.245439005658995	0.456517045997473	0.250842007038058	0.224401511424753	0.362025865984331	0.317499472086656	0.184551427017602	0.174455600423274	0.307597115410705	0.169049059960339	0.235062411744096	0.220716145418597	0.233253939885121	0.193717654248021	0.328673539567548	0.224517121497929	0.21861274990356	0.398253108200411	0.217495579094396	0.248791697781112	0.220653621603512	0.21978418666544	0.299255494722636	0.208705674449112	0.216974154070477	0.211751645968924	0.226767978840997	0.245339911310558	0.18589156011075	0.164064850172884	0.25366855535776	0.10956177883793	0.259777014122124	0.216391384926098	0.128850965639035	0.250665052844421	0.201410442892753	0.258064097527714	0.262558734046105
bm_700111304	0.194877294063659	0.366140640833714	0.241361981037589	0	0.263674725160645	0.390790360007408	0.226934315783016	0.462815435596342	0.260542635933262	0.284597789016335	0.212890051281325	0.210773679125422	0.289500599874716	0.27142413914734	0.248676087707936	0.285607607614693	0.172888965962271	0.270721041151288	0.25035951193674	0.135616514309106	0.27386964610341	0.306720602304887	0.477153444059471	0.170413966640595	0.220677215495997	0.368647491910244	0.323189139259411	0.276979321132932	0.252451110505535	0.251343377253364	0.20112377709906	0.301770603661536	0.240559788693099	0.24489634613184	0.229355049151976	0.284072824908544	0.208840159636277	0.282359908314134	0.336301445007945	0.131591396251166	0.246874694016707	0.252829792479919	0.275547171859093	0.309588439936438	0.260516682651529	0.273798864425955	0.263399856313195	0.270894456261052	0.230618502094548	0.229383361822958	0.187409827092159	0.273592417866711	0.253388967731813	0.263725452029488	0.220965060984314	0.258854492925961	0.260592183107481	0.244383178970292	0.23202941686515	0.263326715246491
bm_700033225	0.177723354532446	0.356388105375043	0.204868127836428	0.263674725160645	0	0.362448196659813	0.287180140548818	0.426927945432045	0.214894352447925	0.351987844426592	0.194020835766454	0.256698011152833	0.275371397360079	0.328645226896566	0.304384806948873	0.349574189225377	0.210687561417851	0.367603462167783	0.178262474975728	0.226581587090366	0.31489116727244	0.306304170102527	0.442627321491559	0.192152199481642	0.335590089149523	0.348433424523728	0.415430641624109	0.296020772062944	0.121428327063256	0.322876520183985	0.313597042269638	0.273348221079491	0.344180625403308	0.363069895726792	0.314072459203211	0.359916571996173	0.298677444356754	0.367733228576451	0.43459949957354	0.26559172892505	0.312030407808635	0.3289047597139	0.326473409093322	0.290035001539501	0.288500218833353	0.294985000182853	0.335579471897904	0.265926762198337	0.330889006071888	0.32793858981664	0.274371016318716	0.301014419407392	0.230133647603981	0.349724010442657	0.345289538350103	0.234884277855834	0.347039025477865	0.33632503890043	0.312028048419386	0.352769981962469
bm_700101232	0.284137708112878	0.238370275470492	0.380504602578576	0.390790360007408	0.362448196659813	0	0.339250681568569	0.19018328915377	0.332631415031905	0.248190053522745	0.296428946402934	0.300786738344912	0.197262636593891	0.233886256203719	0.254239527555897	0.249327279140522	0.33865965456182	0.278594323073529	0.328592140638474	0.369269190977224	0.194256774691303	0.210773679125422	0.183935626423744	0.328294857593163	0.298128886356478	0.141747387271331	0.333697858972226	0.277724888135457	0.365652247259274	0.253044496901532	0.322049554252386	0.206080853910157	0.376588016426068	0.257969721957774	0.373766186884863	0.398694313989881	0.32595080437478	0.302678968522208	0.192272528333316	0.418611098331086	0.380571845172159	0.260646449060196	0.370845262995221	0.345302514990969	0.253381889564067	0.293999955171604	0.30729865267077	0.295439182613189	0.361880763545549	0.318893871132519	0.293344044960521	0.303674630785075	0.455175733209701	0.289884000627598	0.324624827617123	0.428801300495354	0.406105155619416	0.378231331037648	0.374833810519809	0.326409705583613
bm_700038348	0.217976894501089	0.281970609088131	0.20055752367942	0.226934315783016	0.287180140548818	0.339250681568569	0	0.417499825995043	0.313415369297504	0.189895443665453	0.260201704186854	0.248775182056373	0.201744296471415	0.202113540888806	0.216858543997301	0.191374780724262	0.224013391893374	0.145707622124937	0.278166093924927	0.203067913839823	0.262600023357954	0.215156244654509	0.411445633183394	0.235137912200048	0.162842686542162	0.299152861290326	0.233009743097902	0.101644848214591	0.292434500405225	0.244370202329425	0.105852818939289	0.202481605611571	0.112618367609361	0.191091654014442	0.108947157938696	0.206504364280262	0.163090422413254	0.170292458094298	0.314162115994654	0.186412985134668	0.151919894016235	0.17129519852491	0.137297579148662	0.153143237341582	0.191206084392994	0.122176253455031	0.122052385519484	0.126552920510997	0.122460559859475	0.130762070930319	0.105736029171489	0.142737151061076	0.18382355543444	0.1786211021415	0.116268342776789	0.200727399705312	0.137381337466983	0.0884995110165783	0.122819187025247	0.156157357106539
bm_700021685	0.371133108483538	0.194268571637546	0.467441018218024	0.462815435596342	0.426927945432045	0.19018328915377	0.417499825995043	0	0.404507849098182	0.321109337636859	0.354462843748267	0.344345782650703	0.272210995461715	0.308895959192004	0.322534408742953	0.332295202063994	0.385918221209258	0.365674661457135	0.393933066486409	0.445994169949167	0.27366437923879	0.298540599780341	0.104301520508401	0.389657853168129	0.368502389471461	0.187779071509549	0.257305553884321	0.372211349370102	0.408484599676528	0.297936596132725	0.401221219875023	0.290216674511636	0.454176531862962	0.311900641399967	0.432885403284506	0.459441508970988	0.376017044227931	0.387086118887265	0.298232699483412	0.486483648842661	0.435094971315725	0.337491756883813	0.43795573077953	0.399077714742762	0.325123838443181	0.371548360991274	0.415346883305787	0.380490446243086	0.448092846685707	0.37932018917583	0.370746168646784	0.399541334730092	0.531192895407095	0.374866841969288	0.44166705006742	0.506144439450404	0.466109142987246	0.458426971594133	0.456638554543771	0.40800210457521
bm_700105839	0.26146633682405	0.349726369831905	0.205777672391725	0.260542635933262	0.214894352447925	0.332631415031905	0.313415369297504	0.404507849098182	0	0.286674051555014	0.247842043608591	0.141787496888555	0.280185731121642	0.353120351265871	0.339300228742788	0.304989990291113	0.212635237242487	0.256517517875323	0.23390041253921	0.250943460775744	0.312490488712092	0.331326672777485	0.412350458960194	0.281173135522139	0.243987981271168	0.31688721057667	0.299215385105412	0.254100323590235	0.136029407427593	0.353125070044368	0.311286020500733	0.322396384471916	0.381936751852415	0.283167999131745	0.326432119781473	0.408308825177515	0.320630381619414	0.330069118308035	0.340739456184372	0.255534832253323	0.360285816413563	0.264676285896633	0.338752850437136	0.406674948122929	0.313751582265415	0.315597804352365	0.315726391066409	0.396746638165245	0.357518252825074	0.282004820232235	0.298803671681549	0.384445962318194	0.255137275164951	0.334327815901576	0.369240878306242	0.253536429559844	0.388600846784801	0.361493823708795	0.350709055453905	0.323649220162869
bm_700024343	0.308282517987394	0.224623294014111	0.263161557999096	0.284597789016335	0.351987844426592	0.248190053522745	0.189895443665453	0.321109337636859	0.286674051555014	0	0.296897285168761	0.27004979491009	0.212153921835794	0.175678943748621	0.249774383403112	0.165560702956433	0.211820068257131	0.167395128097141	0.338693865705923	0.248538063436899	0.249503053639535	0.16640654400202	0.291154531737914	0.31969370408776	0.173504766556129	0.278090593468975	0.221901738515968	0.161707820313634	0.325588638125135	0.239125280030011	0.164655877179633	0.15790094576118	0.206017150400447	0.103194966950855	0.215497176400917	0.223185246267151	0.17733877408494	0.126556459594869	0.242198384526182	0.245933297706556	0.176721793796458	0.130456530022638	0.176147282514448	0.273155930855739	0.185012687615684	0.193580809671608	0.14821801228534	0.22894805450661	0.184583278772457	0.142537782669578	0.164293710929989	0.2512478219888	0.26450051139762	0.145556621213033	0.203952684808011	0.250449168728183	0.218841610660664	0.189191165974776	0.210463419439244	0.159687003422294
bm_700103610	0.162782522116325	0.302800477068506	0.257674798301712	0.212890051281325	0.194020835766454	0.296428946402934	0.260201704186854	0.354462843748267	0.247842043608591	0.296897285168761	0	0.170727765410646	0.143633718975506	0.265447806180892	0.228953952979732	0.262641312669802	0.206859452362161	0.328476530565298	0.254252504196764	0.188877367204725	0.200695547950458	0.270286913529564	0.350930838043264	0.162448668537662	0.272581419573729	0.30193812029818	0.349085795650938	0.28603701645792	0.212954934485659	0.197709740856482	0.251043734818805	0.243061920991132	0.307632506249432	0.305603431495723	0.271536210136644	0.346870329146597	0.267138308577442	0.297639313087414	0.395956242766997	0.202944045904277	0.293139957790526	0.275378475527825	0.313320993727564	0.289052315917502	0.198917748151713	0.322211172415908	0.302457185932849	0.215448808921323	0.289162027517557	0.25442355991728	0.244846798957622	0.253875001917004	0.299382901742055	0.339730817280639	0.307653740752669	0.295604339860584	0.323743595732809	0.288161646476193	0.288145130751454	0.321004344815301
bm_700106935	0.200145810255557	0.343561285725577	0.255591457595287	0.210773679125422	0.256698011152833	0.300786738344912	0.248775182056373	0.344345782650703	0.141787496888555	0.27004979491009	0.170727765410646	0	0.218718922419742	0.335120570689071	0.273041500477186	0.303409199494619	0.135136378597036	0.273587699088214	0.264983006498938	0.172854754818168	0.214606506959608	0.319503773253256	0.382270605431078	0.212734331590924	0.214122832163666	0.283275351342551	0.294621654238584	0.203236610171091	0.175860616720756	0.289749515440433	0.26755710016905	0.308339143329358	0.340951801216737	0.270285733834939	0.296807628377318	0.35123519925632	0.278873910699476	0.341639563182675	0.31153493606645	0.215290729841673	0.316896648133664	0.268293229614582	0.291163969294908	0.348022890794489	0.269152047301036	0.260010593657726	0.323495859861716	0.327751018371384	0.31748413605654	0.251738574952488	0.237568083126002	0.342595115828317	0.328804485670839	0.318746409304487	0.326944107248398	0.317374424456485	0.339888896360288	0.319937900874979	0.29792951796498	0.333074980210623
bm_700113555	0.226534399305396	0.226373960836498	0.279816486704252	0.289500599874716	0.275371397360079	0.197262636593891	0.201744296471415	0.272210995461715	0.280185731121642	0.212153921835794	0.143633718975506	0.218718922419742	0	0.201396286557262	0.156809728233749	0.175498450471111	0.265295625574364	0.223154574206921	0.22023129092803	0.261019232561459	0.129445531729656	0.203130437654909	0.266187474710296	0.230676307131136	0.15883644359821	0.215441730753577	0.239920394206756	0.188980000637035	0.290124658330944	0.130397545291426	0.209467757176377	0.191066880427333	0.263954312786592	0.235795002105755	0.226737306780767	0.307104003057768	0.217613548556821	0.265382922976558	0.301197272074151	0.27599899490018	0.259533997029529	0.215953718220501	0.253348858114588	0.242743403442585	0.122193948874394	0.232390403420171	0.245122847499696	0.151038662131921	0.249603327682596	0.185681574467633	0.176059985112254	0.187902939445095	0.316760983251875	0.277757919584936	0.266922424461204	0.32554852850791	0.285331559072618	0.240788649450203	0.245464958940729	0.269030538754738
bm_700014977	0.239217296210703	0.181853465411943	0.268447769610359	0.27142413914734	0.328645226896566	0.233886256203719	0.202113540888806	0.308895959192004	0.353120351265871	0.175678943748621	0.265447806180892	0.335120570689071	0.201396286557262	0	0.218490061662638	0.102736065742022	0.306524772997262	0.197235503617534	0.287713362518978	0.252408641499062	0.216368970728237	0.0972493060446373	0.277435862952516	0.177577072399039	0.243225898543903	0.170189824661988	0.243708393645221	0.234739175417052	0.35904123858498	0.190124304422557	0.215173940073872	0.133871745959841	0.240614054645814	0.183535709946123	0.236952282532144	0.336361609433782	0.252793221946567	0.190107788697818	0.301207889325769	0.295344807043249	0.283695322628784	0.149667856978543	0.263231159981927	0.225596542079117	0.178825189311495	0.243808667688282	0.190395634186135	0.177984067044405	0.256199000326775	0.24178431171307	0.201976696312393	0.182914010879144	0.315136543754284	0.19288714923255	0.236065152174708	0.317171516981114	0.275609695674178	0.230729393389227	0.281248635978091	0.236764711086888
bm_700024502	0.200335741090061	0.282751566929385	0.31278423267353	0.248676087707936	0.304384806948873	0.254239527555897	0.216858543997301	0.322534408742953	0.339300228742788	0.249774383403112	0.228953952979732	0.273041500477186	0.156809728233749	0.218490061662638	0	0.139253512835667	0.240413506559692	0.22815412002449	0.189705512830949	0.220310330467855	0.0830269076546845	0.234722659692312	0.327956285236004	0.262728610071997	0.155580486435281	0.238455213483438	0.260881208290422	0.201980235396265	0.359297232318442	0.20881892513304	0.211017875912641	0.225898543902925	0.265464321905632	0.249866399583804	0.242594761919929	0.306561343530614	0.256423142305383	0.285716139520124	0.319680727446893	0.305307328145036	0.267898031915458	0.2317545480177	0.244192068441163	0.247025694928611	0.147031239493345	0.213722915686046	0.267966454203665	0.201442294647607	0.23609346484569	0.187281240378116	0.225180109876757	0.196396740739692	0.341657258602038	0.291628768976863	0.264166657818957	0.29904550907952	0.275691094603251	0.261551274836996	0.243912480815216	0.264005039655435
bm_700024400	0.234315665046946	0.216997747962962	0.266056528607005	0.285607607614693	0.349574189225377	0.249327279140522	0.191374780724262	0.332295202063994	0.304989990291113	0.165560702956433	0.262641312669802	0.303409199494619	0.175498450471111	0.102736065742022	0.139253512835667	0	0.276757538543573	0.181452369239699	0.251195915425333	0.233662114225112	0.167773810071525	0.124458962552954	0.315519944507165	0.217298570092146	0.190157335872036	0.201592115864887	0.206693115420142	0.180448449114462	0.406119311954907	0.198951959295817	0.204201600373727	0.171148916391503	0.235077747774211	0.184147971456109	0.220140454441963	0.308125618602369	0.254585178080802	0.197935062529714	0.297002277990319	0.278396134376655	0.259477371687565	0.172614097114821	0.205047441419314	0.203789886949864	0.128134891002115	0.208721010479227	0.18185818419044	0.170652264954694	0.229824567612428	0.176848021121253	0.202662098889082	0.177413094846268	0.292270522852454	0.232769085394555	0.229087258472272	0.298012096588677	0.24755301842565	0.204892901423537	0.255692911332972	0.213179076464266
bm_700024745	0.169615313379978	0.360150151531774	0.243520822199965	0.172888965962271	0.210687561417851	0.33865965456182	0.224013391893374	0.385918221209258	0.212635237242487	0.211820068257131	0.206859452362161	0.135136378597036	0.265295625574364	0.306524772997262	0.240413506559692	0.276757538543573	0	0.293552850909014	0.272502380033904	0.121096832873842	0.238783168588979	0.294633451184826	0.403526343170807	0.210094175021854	0.210180292729424	0.343118900241483	0.312269885817357	0.205645546593809	0.181516072749408	0.297946033689719	0.209464218092505	0.303233424995606	0.264512308343862	0.220865966635877	0.260859973787185	0.261479313464916	0.218192778617327	0.296846558299919	0.295399072995964	0.17630890067797	0.228353488415989	0.267295207962467	0.210810249658773	0.290019665509386	0.236120597822048	0.186211257353921	0.268203572823139	0.261322414079891	0.239744619707742	0.206912538620253	0.195601626562948	0.3303593231856	0.270888557787931	0.257897760585695	0.254711405405597	0.239918034817507	0.26365938913053	0.246391019220765	0.24792226284304	0.262588226411711
bm_700014787	0.270722220845912	0.233148947063563	0.226214702062224	0.270721041151288	0.367603462167783	0.278594323073529	0.145707622124937	0.365674661457135	0.256517517875323	0.167395128097141	0.328476530565298	0.273587699088214	0.223154574206921	0.197235503617534	0.22815412002449	0.181452369239699	0.293552850909014	0	0.306409162924085	0.271132754575151	0.268544504569547	0.184997351585569	0.34518336583392	0.28249203411205	0.126292207999037	0.271627046622711	0.194467940029044	0.117864469603398	0.336273132336963	0.268026618629502	0.175293183606492	0.171084033187169	0.197055010340023	0.174966408195574	0.149869584759289	0.290865506554973	0.215462965256814	0.152850673074768	0.309130718422229	0.249428732878207	0.217906112823634	0.14596125646915	0.171918077286514	0.253852587719143	0.198094321303987	0.176877513486859	0.139133183983994	0.222085770877351	0.217639501838554	0.150192821086334	0.163881997506126	0.143113473646212	0.248233702223842	0.1932009480026	0.197583513531687	0.290404245956892	0.225229657050976	0.161957915573975	0.214348153836898	0.177836605216374
bm_700114172	0.23002511569855	0.309295875669624	0.213240420584727	0.25035951193674	0.178262474975728	0.328592140638474	0.278166093924927	0.393933066486409	0.23390041253921	0.338693865705923	0.254252504196764	0.264983006498938	0.22023129092803	0.287713362518978	0.189705512830949	0.251195915425333	0.272502380033904	0.306409162924085	0	0.266074224026368	0.200686110393464	0.286469964385019	0.402853917234985	0.233515832091705	0.265840644490767	0.301423773442007	0.337241661623472	0.266272412723242	0.258191504547133	0.270964058243883	0.317203368735969	0.295940552828495	0.354917026178603	0.343610832899795	0.336119772035811	0.375952161023597	0.308486605157389	0.383950490576009	0.412653640478626	0.333743867062572	0.360318847863042	0.298517005887856	0.347916718278306	0.306098903237908	0.237430058854965	0.284847884276676	0.360340082366279	0.257920174783556	0.32888234551604	0.296441923043801	0.261305898355152	0.272570802322111	0.262798212054827	0.34799811720738	0.338896773181294	0.235883479202574	0.367559813466686	0.343916373807476	0.345315491631836	0.359783266503633
bm_700038535	0.141386400716311	0.345155053162938	0.214451966963832	0.135616514309106	0.226581587090366	0.369269190977224	0.203067913839823	0.445994169949167	0.250943460775744	0.248538063436899	0.188877367204725	0.172854754818168	0.261019232561459	0.252408641499062	0.220310330467855	0.233662114225112	0.121096832873842	0.271132754575151	0.266074224026368	0	0.236439115370595	0.289318926902582	0.417209621117478	0.179765405927022	0.223389333437146	0.329360121838861	0.275264045149273	0.240905439218004	0.196525327453735	0.269641620570099	0.192869453813186	0.281530582993286	0.258850953842088	0.257985057987889	0.23889995835678	0.297262990502279	0.248729173966027	0.270198436432745	0.339629363542953	0.151033943353424	0.242912099773853	0.204201600373727	0.252669354011021	0.317979607798725	0.230603166064433	0.222775892232537	0.25020969071946	0.252185679215078	0.2407933682287	0.207265267312903	0.188866749953107	0.292423883153607	0.266418694856649	0.274926652486737	0.260511963873032	0.230248077982533	0.268749771434167	0.231683766340245	0.2432306173224	0.248067365281823
bm_700106343	0.231062067273266	0.278792511770403	0.315948173655767	0.27386964610341	0.31489116727244	0.194256774691303	0.262600023357954	0.27366437923879	0.312490488712092	0.249503053639535	0.200695547950458	0.214606506959608	0.129445531729656	0.216368970728237	0.0830269076546845	0.167773810071525	0.238783168588979	0.268544504569547	0.200686110393464	0.236439115370595	0	0.239398969182837	0.286813255520676	0.26509743687749	0.186955644661823	0.200318045670698	0.295148977735623	0.22294340886918	0.313121625336065	0.176603824334033	0.250049252250562	0.243334430449334	0.307192480154587	0.270367132764013	0.297594484691693	0.330428925168431	0.277216439752406	0.316331574408649	0.280585647599262	0.340662776033796	0.305919589655022	0.258694054457063	0.28939324766391	0.280779117517639	0.168296414790067	0.240126840765999	0.309673377949384	0.235009325486005	0.281978866950501	0.232987328900041	0.241537755536602	0.228741607947367	0.382665803130202	0.312790131146651	0.29141996302837	0.347295019211327	0.325224112486242	0.302003003502513	0.294790350569851	0.30975831596233
bm_700105158	0.238261743565061	0.152542772777839	0.245439005658995	0.306720602304887	0.306304170102527	0.210773679125422	0.215156244654509	0.298540599780341	0.331326672777485	0.16640654400202	0.270286913529564	0.319503773253256	0.203130437654909	0.0972493060446373	0.234722659692312	0.124458962552954	0.294633451184826	0.184997351585569	0.286469964385019	0.289318926902582	0.239398969182837	0	0.260476573034304	0.224521840276426	0.238349040967255	0.179764226232397	0.276909719150101	0.193171455636994	0.366459158382261	0.217507376040638	0.193665747684554	0.0855490947613301	0.22302952657675	0.170412786945971	0.214299786357304	0.313015452819883	0.211437847198874	0.158678364518561	0.292112443772805	0.28672831750773	0.258747140715154	0.141768621774567	0.208844878414774	0.188044502800005	0.15314559673083	0.20720038410857	0.169460773384202	0.139832742896174	0.233591332547657	0.221387391659795	0.156176232220527	0.174743445911591	0.285502614793135	0.132512737752705	0.213851502400089	0.308335604245485	0.24863007961759	0.191547016139402	0.25680536336364	0.205623132395948
bm_700110595	0.37452591022288	0.168232711280358	0.456517045997473	0.477153444059471	0.442627321491559	0.183935626423744	0.411445633183394	0.104301520508401	0.412350458960194	0.291154531737914	0.350930838043264	0.382270605431078	0.266187474710296	0.277435862952516	0.327956285236004	0.315519944507165	0.403526343170807	0.34518336583392	0.402853917234985	0.417209621117478	0.286813255520676	0.260476573034304	0	0.395030182486961	0.373343856209382	0.194548159263493	0.260769137301118	0.372789399735984	0.425672750351844	0.272719443844766	0.387708997648869	0.27450550150588	0.441296625955405	0.328312553012527	0.417452638210073	0.467822059581657	0.383175431207878	0.366455619298388	0.33698566789001	0.470765397669159	0.43904930769621	0.307697389453766	0.431851990793663	0.41558636131451	0.309846793059149	0.375507416150255	0.380788908983021	0.366100531216489	0.431867326823778	0.374391425035715	0.352739309902239	0.378469629351746	0.515694067433704	0.350055504632071	0.430547248539243	0.477201811539065	0.470676920572341	0.422613802191165	0.460873658244827	0.398425343615552
