bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.221640717287578	0.177141074658817	0.153044404158177	0.172325656099003	0.182029893376474	0.258035080179218	0.187426290419421	0.186257766354104	0.318665336071737	0.29897927842016	0.152455893812726	0.301321022316395	0.106159845099164	0.365545013295707	0.366726420962938	0.322228529355849	0.255543126718269	0.194542774460496	0.374201291732907	0.322033550495406	0.453210127291905	0.175355643820459	0.0798649011016703	0.114377694018868	0.246769233079859	0.138586100209008	0.106566463270117	0.130446630432041	0.131849693017755	0.310370731663107	0.317406161906704	0.589698574903295	0.386703030154105	0.387522337873185	0.537733983924648	0.565201045934076	0.49430318132766	0.447721768431157	0.440027288473276	0.546403843604387	0.389679732888109	0.452811320738698	0.593116953478767	0.353737258823794	0.375249705260424	0.44383323481478	0.334093567706504	0.538152252385908	0.381622505927105	0.237026812214662	0.428167085642973	0.52810000681314	0.491030403305038	0.440128645377943	0.404762675876661	0.525572935812151	0.529620773967382	0.507519641310844	0.477718529431103
bm_700105215	0.221640717287578	0	0.187387217129176	0.175666074784147	0.338746226087177	0.307320678343548	0.189370098452065	0.3027319706654	0.150797092951488	0.194771079991344	0.12039773567025	0.265051417066883	0.158990442427	0.215664666831501	0.245613515404952	0.25511987246381	0.181936147107002	0.189961073177763	0.0654646201120268	0.244771223816138	0.183238602415314	0.330395522246979	0.287773811128656	0.261067697062217	0.297505506338017	0.0952587219595732	0.263850933061953	0.243964716277124	0.293777702448747	0.261742411865325	0.231427409276205	0.183648207122189	0.557469869354428	0.261636538731532	0.312795639962042	0.504276483952476	0.542849746163617	0.393290773512597	0.471912999853674	0.370530579725379	0.497167648861343	0.269968854785847	0.427435201580979	0.557144563380337	0.243705343525811	0.311919265276261	0.390362264105241	0.342790497120402	0.484622829093371	0.289976357301983	0.235019355325618	0.36610875733312	0.440501864164715	0.468409898880333	0.432475702451954	0.323435137126592	0.501110497437606	0.47462837051605	0.465995310888542	0.454387102250332
bm_700107881	0.177141074658817	0.187387217129176	0	0.129793351400447	0.268187573059435	0.274098634530914	0.203838856410746	0.275951939949663	0.141129242999554	0.272131221483433	0.237598000518639	0.236089697114181	0.251714020011638	0.141696352101845	0.318377256020926	0.315119202688585	0.247485563875596	0.222875235669279	0.15607559164238	0.332075114535809	0.251365951191027	0.354019432456114	0.267446902261172	0.215900402961753	0.172959428778315	0.196413570568872	0.23559359664734	0.203636442292484	0.254707100881824	0.22503581491651	0.232105290750897	0.241799390248334	0.511549165839467	0.322419527178631	0.288516227076258	0.459334882605066	0.528996665618259	0.42290068418096	0.443797706120361	0.333954270688998	0.470587874745313	0.316753644946774	0.405824347555349	0.515292373564008	0.257163273938168	0.317092285229151	0.385305989360441	0.326476929077272	0.445189098842636	0.306120909449949	0.199703467161441	0.347001419623901	0.413617898376123	0.430593900749742	0.414848230647813	0.34407256315118	0.457633071978062	0.437696971082565	0.421985547301993	0.40280320350146
bm_700111304	0.153044404158177	0.175666074784147	0.129793351400447	0	0.244849712780418	0.197098098829404	0.234364787702647	0.197666980513352	0.12289083768782	0.310456124428941	0.204910549535283	0.151491885665133	0.261184460767449	0.130436869357141	0.333323122004797	0.3418576127472	0.238321047832858	0.256006597706649	0.123354348734508	0.345095371563793	0.220542430204007	0.417394994420779	0.200594719851506	0.194451010955932	0.186596948385714	0.170765259551953	0.169057879784795	0.156366571913555	0.229797203015325	0.190981778288513	0.263196695463074	0.269985910513263	0.588056087249806	0.354763763175673	0.367694389346384	0.536714748001887	0.565882892910695	0.459621768091958	0.468544513007432	0.4318981793134	0.534588813100879	0.36656952488752	0.451845802431289	0.590157242876724	0.319081204753318	0.338905717396524	0.422129315367406	0.353344045072247	0.512768206695201	0.347080265267084	0.246960772675024	0.410821217612657	0.500679267809116	0.492351136478114	0.447519503515419	0.375260749698326	0.527532679867729	0.519918328255511	0.494998385325667	0.479769455500286
bm_700033225	0.172325656099003	0.338746226087177	0.268187573059435	0.244849712780418	0	0.211386429053228	0.332643420963604	0.215583393724721	0.265850550140218	0.391416816958824	0.373334949872796	0.204804519270537	0.390385175487554	0.19981653316761	0.414106198642527	0.420984125807453	0.371675223168283	0.331388256903237	0.310795237183349	0.427060244940015	0.385704322483889	0.508563105265914	0.223937029902055	0.183176783341477	0.169439878173398	0.316983181749177	0.215195258748198	0.18699920707241	0.20592673452302	0.217446652373702	0.388684822236748	0.408101290293722	0.607813324188802	0.438237205693545	0.449921551805439	0.575150076557188	0.58776835869662	0.526417671156683	0.476888110291766	0.484063263007522	0.559880711039462	0.441620253149807	0.473840668019699	0.613764903198807	0.408269787898379	0.431333517077388	0.481784626977111	0.370839425004766	0.576353264205894	0.430365209857905	0.341143356950978	0.475205748694713	0.561472949495741	0.519838508436403	0.473688810639389	0.453474510682316	0.547320712787672	0.56719986457835	0.524038221585519	0.500333883622707
bm_700101232	0.182029893376474	0.307320678343548	0.274098634530914	0.197098098829404	0.211386429053228	0	0.401465239592149	0.0572009044178898	0.242104949710866	0.45665345211237	0.362736967014075	0.125032083697272	0.379465579956924	0.205381594379309	0.479718072456156	0.494757863036629	0.388139434264252	0.382527092879416	0.266446967537987	0.510262165138653	0.368894744050786	0.579098218739262	0.0867352246493502	0.156045580505132	0.153675450930386	0.289121986092568	0.0918658124482735	0.147441887851067	0.132844921270401	0.165974132027537	0.438331878939018	0.43877840639867	0.674730415727183	0.51249622095506	0.519553079479314	0.628685654067985	0.655638414154536	0.61295457708588	0.534276780629042	0.569620160455303	0.646613516148733	0.518480286687814	0.566981625959898	0.679215776662629	0.480259453805351	0.505112225770052	0.56918676897825	0.436268763033633	0.645641829682653	0.513496333104866	0.390693095261764	0.556051993623601	0.646246491863633	0.584911255978693	0.538216449128146	0.535293384664631	0.621721429255057	0.6553615343126	0.613161846659717	0.58187777187601
bm_700038348	0.258035080179218	0.189370098452065	0.203838856410746	0.234364787702647	0.332643420963604	0.401465239592149	0	0.392279111858814	0.210705534211505	0.183982983839494	0.202644780912469	0.338385478753656	0.247774414906996	0.246921854267029	0.229295612460309	0.257925718364616	0.242065169055498	0.203751268431458	0.195873403706131	0.245676825147527	0.238847720651523	0.332408266027373	0.383911642340305	0.299385996217171	0.31937760242272	0.231065046024107	0.352242891705886	0.298780437409188	0.36334056416095	0.335961132554433	0.134053417151554	0.169245321717707	0.427907536055607	0.169220711852564	0.252467477570304	0.37370919147529	0.401370507125139	0.27057134874493	0.325384151219936	0.317856457644375	0.369763283060898	0.243545107458435	0.267612588138078	0.425962225204086	0.220776049498606	0.169214978404216	0.250291284234192	0.17797723502373	0.359792492745657	0.189885352282483	0.163650718318662	0.320418229343892	0.359607797432725	0.313836379815039	0.279708588236232	0.186767001311506	0.344330995381749	0.345011725497652	0.320154436713947	0.296199148462283
bm_700021685	0.187426290419421	0.3027319706654	0.275951939949663	0.197666980513352	0.215583393724721	0.0572009044178898	0.392279111858814	0	0.243560273619277	0.445183436256851	0.347124388345707	0.108760311045192	0.376342997017217	0.197308649805666	0.476344817866464	0.48552433532176	0.391657344274344	0.377523457546326	0.266695434272784	0.499643130314344	0.34754550124969	0.578664037970966	0.086322048058088	0.165916418289642	0.164086337211607	0.277371460609536	0.104840342083654	0.141450490023379	0.156218254347427	0.172139369269069	0.440182848933844	0.443608776076633	0.679262246198951	0.513164633124047	0.523357980188227	0.633092819095033	0.65975258322784	0.615638860011399	0.542488156455498	0.570943981705262	0.649182625454612	0.526088187414388	0.572201448355853	0.68373759258963	0.480839455568404	0.508685857714557	0.571479177813124	0.443959548899431	0.647747955001	0.517730028690404	0.392025135233906	0.559874630733617	0.649373269855011	0.592356105390167	0.544080557824354	0.539073315500313	0.62618586480579	0.658458804490884	0.616891936395795	0.586175957584875
bm_700105839	0.186257766354104	0.150797092951488	0.141129242999554	0.12289083768782	0.265850550140218	0.242104949710866	0.210705534211505	0.243560273619277	0	0.282623884022722	0.197083847235351	0.175564970966336	0.21719676849743	0.157509305205045	0.296103621406144	0.312172573172308	0.203253497514182	0.203179864026733	0.116321610419078	0.314606764912956	0.193175403718537	0.398847086310634	0.234890526735146	0.228930446654791	0.222844750744517	0.136877895063386	0.226675994458737	0.172759012377288	0.266454427265381	0.225749763522404	0.249268271313899	0.246020214910861	0.557531443534688	0.351212691004009	0.324009473594873	0.507963631276713	0.545348447743596	0.426317006913669	0.475997173791367	0.405323888313272	0.492186184788777	0.324567270499716	0.421115698726072	0.561281862093047	0.29253725630307	0.347614983762472	0.404052897403289	0.349951201971861	0.491723536614555	0.306990346396115	0.219646825568966	0.387683066642584	0.46414958908664	0.468323338567937	0.428585727701025	0.368877750143911	0.500305273664496	0.47469207471255	0.457403022525791	0.449604126315875
bm_700024343	0.318665336071737	0.194771079991344	0.272131221483433	0.310456124428941	0.391416816958824	0.45665345211237	0.183982983839494	0.445183436256851	0.282623884022722	0	0.156350598146952	0.396872270864243	0.198609476132437	0.307895781639183	0.201009502574991	0.172813410323541	0.189898498175736	0.194758503796883	0.231759165117901	0.21438636839909	0.21389376431113	0.281241380974223	0.437011458449588	0.364391983752992	0.375415503362934	0.232036526000647	0.412870231434538	0.369927396668214	0.425543175351313	0.388945628367434	0.194252324634081	0.184090137573232	0.419493513691746	0.141596435455906	0.226091982888558	0.373524535829546	0.396564626156597	0.261109956200804	0.390041732403235	0.267972533818043	0.357879420826003	0.174563517246515	0.28166736173484	0.419633051386037	0.186966507474878	0.211402803908516	0.248899071041335	0.265041969750449	0.373288768708983	0.170867811946361	0.231602742785528	0.275300266169428	0.345789703253608	0.345578701334647	0.338070217733332	0.199446861417468	0.353515751617419	0.328282045682402	0.32167278257516	0.313287782030155
